0. Zeile und 0.Spalte, Wert:7693.423472329859 
0. Zeile und 1.Spalte, Wert:7417.460696194772 
0. Zeile und 2.Spalte, Wert:7562.640451063005 
0. Zeile und 3.Spalte, Wert:8310.658665142335 
0. Zeile und 4.Spalte, Wert:7306.60509168556 
0. Zeile und 5.Spalte, Wert:7528.829058176764 
0. Zeile und 6.Spalte, Wert:7513.069768997822 
0. Zeile und 7.Spalte, Wert:7410.788640237469 
0. Zeile und 8.Spalte, Wert:7403.708236575987 
0. Zeile und 9.Spalte, Wert:7561.7534351772865 
0. Zeile und 10.Spalte, Wert:7530.947394203442 
0. Zeile und 11.Spalte, Wert:7369.0608419254095 
0. Zeile und 12.Spalte, Wert:7621.680323793024 
0. Zeile und 13.Spalte, Wert:7480.771283634097 
0. Zeile und 14.Spalte, Wert:7448.77879084223 
0. Zeile und 15.Spalte, Wert:7538.832248016284 
0. Zeile und 16.Spalte, Wert:7450.1888469755695 
0. Zeile und 17.Spalte, Wert:7481.9125330155575 
0. Zeile und 18.Spalte, Wert:7500.3287007496765 
0. Zeile und 19.Spalte, Wert:7478.463177874667 
0. Zeile und 20.Spalte, Wert:7445.399935248253 
1. Zeile und 0.Spalte, Wert:7420.3097089238545 
1. Zeile und 1.Spalte, Wert:7445.997256010964 
1. Zeile und 2.Spalte, Wert:7609.2891479702885 
1. Zeile und 3.Spalte, Wert:8316.43836925575 
1. Zeile und 4.Spalte, Wert:7551.052349807284 
1. Zeile und 5.Spalte, Wert:7380.2073096319145 
1. Zeile und 6.Spalte, Wert:7506.533351483044 
1. Zeile und 7.Spalte, Wert:7522.992271204225 
1. Zeile und 8.Spalte, Wert:7534.146396228001 
1. Zeile und 9.Spalte, Wert:7688.877699973463 
1. Zeile und 10.Spalte, Wert:7408.973173180713 
1. Zeile und 11.Spalte, Wert:7380.770074286069 
1. Zeile und 12.Spalte, Wert:7253.317834229423 
1. Zeile und 13.Spalte, Wert:7371.126659901632 
1. Zeile und 14.Spalte, Wert:7520.584442738812 
