0. Zeile und 0.Spalte, Wert:194856.24262276306
0. Zeile und 1.Spalte, Wert:194830.24951297196
0. Zeile und 2.Spalte, Wert:195603.24008772426
0. Zeile und 3.Spalte, Wert:195160.87793867613
0. Zeile und 4.Spalte, Wert:194778.52434536355
0. Zeile und 5.Spalte, Wert:195218.67379564632
0. Zeile und 6.Spalte, Wert:195534.46395521352
0. Zeile und 7.Spalte, Wert:195745.387826256
0. Zeile und 8.Spalte, Wert:196024.19165658497
0. Zeile und 9.Spalte, Wert:196248.82685757452
0. Zeile und 10.Spalte, Wert:196301.43692814314
0. Zeile und 11.Spalte, Wert:195821.25027733628
0. Zeile und 12.Spalte, Wert:196206.19666565326
0. Zeile und 13.Spalte, Wert:195604.43331666943
0. Zeile und 14.Spalte, Wert:195389.32791922573
0. Zeile und 15.Spalte, Wert:195245.10577124884
0. Zeile und 16.Spalte, Wert:195184.02480565844
0. Zeile und 17.Spalte, Wert:196142.34293595818
0. Zeile und 18.Spalte, Wert:195220.59287305403
0. Zeile und 19.Spalte, Wert:196149.61473016703
0. Zeile und 20.Spalte, Wert:196169.49683302842
0. Zeile und 21.Spalte, Wert:196076.13683286373
0. Zeile und 22.Spalte, Wert:195248.77765119707
0. Zeile und 23.Spalte, Wert:195201.5583185245
0. Zeile und 24.Spalte, Wert:195002.913966697
0. Zeile und 25.Spalte, Wert:194893.44621329426
0. Zeile und 26.Spalte, Wert:194885.09860762476
0. Zeile und 27.Spalte, Wert:195133.57125224525
0. Zeile und 28.Spalte, Wert:196260.46514736407
0. Zeile und 29.Spalte, Wert:196166.1816316755
0. Zeile und 30.Spalte, Wert:195528.61339262378
0. Zeile und 31.Spalte, Wert:194786.9131355004
0. Zeile und 32.Spalte, Wert:195313.4613519954
0. Zeile und 33.Spalte, Wert:195763.5339998026
0. Zeile und 34.Spalte, Wert:195099.6354846998
0. Zeile und 35.Spalte, Wert:196303.69038348974
0. Zeile und 36.Spalte, Wert:195664.34392883975
0. Zeile und 37.Spalte, Wert:196099.3048790102
0. Zeile und 38.Spalte, Wert:194999.92817256594
0. Zeile und 39.Spalte, Wert:195065.32118124576
0. Zeile und 40.Spalte, Wert:194979.28779018318
0. Zeile und 41.Spalte, Wert:196199.4860534661
0. Zeile und 42.Spalte, Wert:196177.75649216457
0. Zeile und 43.Spalte, Wert:194399.58723622293
0. Zeile und 44.Spalte, Wert:196282.79232330414
0. Zeile und 45.Spalte, Wert:195357.31350974226
0. Zeile und 46.Spalte, Wert:195447.8882603028
0. Zeile und 47.Spalte, Wert:195811.71565097646
0. Zeile und 48.Spalte, Wert:194723.5875204106
0. Zeile und 49.Spalte, Wert:194655.73585009872
0. Zeile und 50.Spalte, Wert:196102.71365097276
0. Zeile und 51.Spalte, Wert:195734.14177840986
0. Zeile und 52.Spalte, Wert:194450.91279924265
0. Zeile und 53.Spalte, Wert:195435.72473237832
0. Zeile und 54.Spalte, Wert:195334.55402904123
0. Zeile und 55.Spalte, Wert:196200.9735860292
0. Zeile und 56.Spalte, Wert:196366.2577729504
0. Zeile und 57.Spalte, Wert:195973.88877951767
0. Zeile und 58.Spalte, Wert:195694.94296095098
0. Zeile und 59.Spalte, Wert:195153.7367978945
0. Zeile und 60.Spalte, Wert:194444.89493606522
0. Zeile und 61.Spalte, Wert:195676.91018670052
0. Zeile und 62.Spalte, Wert:195640.40390314366
0. Zeile und 63.Spalte, Wert:196233.6690374428
0. Zeile und 64.Spalte, Wert:196062.98873245044
0. Zeile und 65.Spalte, Wert:195346.25955211848
