100. Zeile und 99.Spalte, Wert:38403.83512901186 
100. Zeile und 100.Spalte, Wert:38425.82686848483 
0. Zeile und 0.Spalte, Wert:38232.80313460742 
0. Zeile und 1.Spalte, Wert:38225.66283579061 
0. Zeile und 2.Spalte, Wert:37781.276538522354 
0. Zeile und 3.Spalte, Wert:38243.33316415435 
0. Zeile und 4.Spalte, Wert:38229.91878742164 
0. Zeile und 5.Spalte, Wert:37053.12934674094 
0. Zeile und 6.Spalte, Wert:38249.702323341786 
0. Zeile und 7.Spalte, Wert:38246.270025991704 
0. Zeile und 8.Spalte, Wert:38101.6912260116 
0. Zeile und 9.Spalte, Wert:38243.416293948 
0. Zeile und 10.Spalte, Wert:38246.477204137365 
0. Zeile und 11.Spalte, Wert:38247.06400114097 
0. Zeile und 12.Spalte, Wert:38258.94490100299 
0. Zeile und 13.Spalte, Wert:38263.174175219865 
0. Zeile und 14.Spalte, Wert:38239.09675037998 
0. Zeile und 15.Spalte, Wert:38243.80804656533 
0. Zeile und 16.Spalte, Wert:38244.73852793126 
0. Zeile und 17.Spalte, Wert:38256.746048222085 
0. Zeile und 18.Spalte, Wert:38254.18091872223 
0. Zeile und 19.Spalte, Wert:38258.514569849685 
0. Zeile und 20.Spalte, Wert:38250.704363532735 
0. Zeile und 21.Spalte, Wert:38260.903596111566 
0. Zeile und 22.Spalte, Wert:38257.362181431025 
0. Zeile und 23.Spalte, Wert:38372.59002371063 
0. Zeile und 24.Spalte, Wert:38251.66161315084 
0. Zeile und 25.Spalte, Wert:38258.70037915269 
0. Zeile und 26.Spalte, Wert:38251.16897646627 
0. Zeile und 27.Spalte, Wert:38260.53096691418 
0. Zeile und 28.Spalte, Wert:38288.04597623792 
0. Zeile und 29.Spalte, Wert:38239.50327246008 
0. Zeile und 30.Spalte, Wert:38252.681254694275 
0. Zeile und 31.Spalte, Wert:44995.4780147873 
0. Zeile und 32.Spalte, Wert:38243.14727348786 
0. Zeile und 33.Spalte, Wert:38251.4729189331 
0. Zeile und 34.Spalte, Wert:38232.80258799189 
0. Zeile und 35.Spalte, Wert:38240.674670493376 
0. Zeile und 36.Spalte, Wert:38256.99544043728 
0. Zeile und 37.Spalte, Wert:38252.823177368664 
0. Zeile und 38.Spalte, Wert:38250.98417416278 
0. Zeile und 39.Spalte, Wert:38252.80030780209 
0. Zeile und 40.Spalte, Wert:38262.72412714139 
0. Zeile und 41.Spalte, Wert:38255.774634891495 
0. Zeile und 42.Spalte, Wert:38239.73343356944 
0. Zeile und 43.Spalte, Wert:38260.575845885534 
0. Zeile und 44.Spalte, Wert:38254.72823507517 
0. Zeile und 45.Spalte, Wert:38241.50959680993 
0. Zeile und 46.Spalte, Wert:38259.10767035908 
0. Zeile und 47.Spalte, Wert:38250.19285662865 
0. Zeile und 48.Spalte, Wert:38232.12981323611 
0. Zeile und 49.Spalte, Wert:38226.135858288835 
0. Zeile und 50.Spalte, Wert:38209.70886287664 
0. Zeile und 51.Spalte, Wert:38063.89580234134 
